Age,Year,Sex,UnemploymentRates
16-17,2020,Male,17.1
18-19,2020,Male,18.1
20-24,2020,Male,12.4
25-34,2020,Male,7.4
35-44,2020,Male,5.2
45-54,2020,Male,5
55 and over,2020,Male,5.5
16-17,2020,Female,16.9
18-19,2020,Female,16.4
20-24,2020,Female,12.3
25-34,2020,Female,7.3
35-44,2020,Female,5.8
45-54,2020,Female,5.9
55 and over,2020,Female,6.4
